"実行日時: 2026-08-03 19:51:08"

"検索条件"
"集計単位: すべての広告"
"集計期間: 月ごとに集計 2026-07 - 2026-07"
"キャンペーン: 指定なし"
"商品: 指定なし"
"■■■■■ 商品・キーワードCPCを設定される際にはここから上は行ごと削除してください ■■■■■"
"日付","有効予算","消化率(%)","CTR(%)","割引後実績額","クリック数(合計)","実績額(合計)","CPC実績(合計)","クリック数(新規)","実績額(新規)","CPC実績(新規)","クリック数(既存)","実績額(既存)","CPC実績(既存)","売上金額(合計12時間)","売上件数(合計12時間)","CVR(合計12時間)(%)","ROAS(合計12時間)(%)","注文獲得単価(合計12時間)","売上金額(合計720時間)","売上件数(合計720時間)","CVR(合計720時間)(%)","ROAS(合計720時間)(%)","注文獲得単価(合計720時間)","売上金額(新規12時間)","売上件数(新規12時間)","CVR(新規12時間)(%)","ROAS(新規12時間)(%)","注文獲得単価(新規12時間)","売上金額(新規720時間)","売上件数(新規720時間)","CVR(新規720時間)(%)","ROAS(新規720時間)(%)","注文獲得単価(新規720時間)","売上金額(既存12時間)","売上件数(既存12時間)","CVR(既存12時間)(%)","ROAS(既存12時間)(%)","注文獲得単価(既存12時間)","売上金額(既存720時間)","売上件数(既存720時間)","CVR(既存720時間)(%)","ROAS(既存720時間)(%)","注文獲得単価(既存720時間)"
"2026年07月","70000","99.72","0.06","69810","3716","69810","19","3688","69373","19","28","437","16","453574","131","3.52","649.72","533","534794","154","4.14","766.07","454","442454","129","3.49","637.78","538","518054","150","4.06","746.76","463","11120","2","7.14","2544.62","219","16740","4","14.28","3830.66","110"
