"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"日付/時刻：トランザクションの掲載日/時刻"
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"注：開始日が2025年1月1日以降のレポートには、掲載日でインデックスが作成されています。決済済みトランザクションと留保中トランザクションの両方が含まれており、2つの新しい列があります。 インテグレーションやサードパーティのマッピングを更新することが必要になる場合があります。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計","トランザクションのステータス","トランザクション開始日"
"2026/07/01 14:13:17 JST","12372724483","配送サービス","250-4686156-6763863","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:17 JST"
"2026/07/01 14:13:17 JST","12372724483","配送サービス","503-1813883-3000654","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:17 JST"
"2026/07/01 14:13:18 JST","12372724483","配送サービス","250-5493968-7303866","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:18 JST"
"2026/07/01 14:13:18 JST","12372724483","配送サービス","250-9914698-5653454","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:18 JST"
"2026/07/01 14:13:18 JST","12372724483","配送サービス","249-5051824-7446222","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:18 JST"
"2026/07/01 14:13:21 JST","12372724483","配送サービス","503-1510904-9607868","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:21 JST"
"2026/07/01 14:13:21 JST","12372724483","配送サービス","250-4993809-1346266","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:21 JST"
"2026/07/01 14:13:21 JST","12372724483","配送サービス","249-7969523-3468636","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:21 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","249-4835458-2267828","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","250-6931027-1575035","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","249-7662567-5595817","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","249-0598594-3611014","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","503-3875530-5475036","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","249-0828762-2974249","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","249-5831511-9426220","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","249-1906560-3401421","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","249-1601883-1895023","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:24 JST","12372724483","配送サービス","503-8659216-9036607","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:24 JST"
"2026/07/01 14:13:27 JST","12372724483","配送サービス","249-9469613-3058223","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:27 JST"
"2026/07/01 14:13:27 JST","12372724483","配送サービス","250-0484532-6615807","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:27 JST"
"2026/07/01 14:13:27 JST","12372724483","配送サービス","503-5750991-5146222","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:27 JST"
"2026/07/01 14:13:27 JST","12372724483","配送サービス","250-2144316-0150242","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:27 JST"
